ts,cmd_idx,id,mode,goal,actual
1775158197.2973049,0,4.0,3.0,0.0,1.859184741973877
1775158203.2106302,0,1.0,3.0,0.0,3.650874376296997
1775158203.2106302,0,2.0,3.0,0.0,1.7717478275299072
1775158203.2106302,0,3.0,3.0,0.0,2.946777105331421
1775158203.2106302,0,4.0,3.0,0.0,1.859184741973877
1775158207.1693418,0,1.0,3.0,0.0,3.650874376296997
1775158207.1693418,0,2.0,3.0,0.0,1.7456700801849365
1775158207.1693418,0,3.0,3.0,0.0,2.946777105331421
1775158207.1693418,0,4.0,3.0,0.0,1.859184741973877
1775158212.707614,0,1.0,3.0,0.0,3.6524083614349365
1775158212.707614,0,2.0,3.0,0.0,1.6843109130859375
1775158212.707614,0,3.0,3.0,0.0,2.9483110904693604
1775158212.707614,0,4.0,3.0,0.0,1.859184741973877
1775158219.103607,0,1.0,3.0,0.0,3.6524083614349365
1775158219.103607,0,2.0,3.0,0.0,1.685844898223877
1775158219.103607,0,3.0,3.0,0.0,2.946777105331421
1775158219.103607,0,4.0,3.0,0.0,1.859184741973877
1775158226.0166452,0,1.0,3.0,0.0,3.6524083614349365
1775158226.0166452,0,2.0,3.0,0.0,1.7088545560836792
1775158226.0166452,0,3.0,3.0,0.0,2.946777105331421
1775158226.0166452,0,4.0,3.0,0.0,1.8576507568359375
1775158243.710813,0,1.0,3.0,0.0,3.650874376296997
1775158243.710813,0,2.0,3.0,0.0,1.856116771697998
1775158243.710813,0,3.0,3.0,0.0,2.946777105331421
1775158243.710813,0,4.0,3.0,0.0,1.859184741973877
1775158254.2669528,0,1.0,3.0,0.0,3.6493403911590576
1775158254.2669528,0,2.0,3.0,0.0,3.569573402404785
1775158254.2669528,0,3.0,3.0,0.0,2.946777105331421
1775158254.2669528,0,4.0,3.0,0.0,1.859184741973877
1775158262.2116318,0,1.0,3.0,0.0,3.647806406021118
1775158262.2116318,0,2.0,3.0,0.0,4.8596510887146
1775158262.2116318,0,3.0,3.0,0.0,2.946777105331421
1775158262.2116318,0,4.0,3.0,0.0,1.859184741973877
1775158267.6416452,0,1.0,3.0,0.0,3.647806406021118
1775158267.6416452,0,2.0,3.0,0.0,4.759942531585693
1775158267.6416452,0,3.0,3.0,0.0,2.946777105331421
1775158267.6416452,0,4.0,3.0,0.0,1.859184741973877
1775158271.8192103,0,1.0,3.0,0.0,3.647806406021118
1775158271.8192103,0,2.0,3.0,0.0,4.8289713859558105
1775158271.8192103,0,3.0,3.0,0.0,2.946777105331421
1775158271.8192103,0,4.0,3.0,0.0,1.8576507568359375
1775158277.0442653,0,1.0,3.0,0.0,3.647806406021118
1775158277.0442653,0,2.0,3.0,0.0,4.8596510887146
1775158277.0442653,0,3.0,3.0,0.0,2.946777105331421
1775158277.0442653,0,4.0,3.0,0.0,1.859184741973877
1775158316.2425241,0,1.0,3.0,0.0,3.650874376296997
1775158316.2425241,0,2.0,3.0,0.0,4.764544486999512
1775158316.2425241,0,3.0,3.0,0.0,2.946777105331421
1775158316.2425241,0,4.0,3.0,0.0,1.859184741973877
1775158323.0139735,0,1.0,3.0,0.0,3.650874376296997
1775158323.0139735,0,2.0,3.0,0.0,1.8039613962173462
1775158323.0139735,0,3.0,3.0,0.0,2.946777105331421
1775158323.0139735,0,4.0,3.0,0.0,1.859184741973877
1775158340.3496437,0,1.0,3.0,0.0,3.6493403911590576
1775158340.3496437,0,2.0,3.0,0.0,1.8361749649047852
1775158340.3496437,0,3.0,3.0,0.0,2.946777105331421
1775158340.3496437,0,4.0,3.0,0.0,1.859184741973877
1775158350.7332838,0,1.0,3.0,0.0,3.6493403911590576
1775158350.7332838,0,2.0,3.0,0.0,4.735398769378662
1775158350.7332838,0,3.0,3.0,0.0,2.946777105331421
1775158350.7332838,0,4.0,3.0,0.0,1.859184741973877
1775158359.3814645,0,1.0,3.0,0.0,3.6493403911590576
1775158359.3814645,0,2.0,3.0,0.0,3.3026607036590576
1775158359.3814645,0,3.0,3.0,0.0,2.946777105331421
1775158359.3814645,0,4.0,3.0,0.0,1.859184741973877
1775158368.0363588,0,1.0,3.0,0.0,3.681553840637207
1775158368.0363588,0,2.0,3.0,0.0,3.3026607036590576
1775158368.0363588,0,3.0,3.0,0.0,2.9483110904693604
1775158368.0363588,0,4.0,3.0,0.0,1.859184741973877
1775158374.8416307,0,1.0,3.0,0.0,6.2463698387146
1775158374.8416307,0,2.0,3.0,0.0,3.2965247631073
1775158374.8416307,0,3.0,3.0,0.0,2.946777105331421
1775158374.8416307,0,4.0,3.0,0.0,1.8576507568359375
1775158379.141926,0,1.0,3.0,0.0,0.5184854865074158
1775158379.141926,0,2.0,3.0,0.0,3.2965247631073
1775158379.141926,0,3.0,3.0,0.0,2.946777105331421
1775158379.141926,0,4.0,3.0,0.0,1.859184741973877
1775159009.802081,0,1.0,3.0,0.0,3.6493403911590576
1775159009.802081,0,2.0,3.0,0.0,3.2980587482452393
1775159009.802081,0,3.0,3.0,0.0,2.9498450756073
1775159009.802081,0,4.0,3.0,0.0,1.859184741973877
